block,xmin,xmax,ymin,ymax,overlap,area
1,625508.4974,625976.3094,1014461.308,1014890.175,TRUE,31853.48297
2,626444.1214,626911.9335,1014461.308,1014890.175,TRUE,32012.72185
3,626911.9335,627379.7455,1014461.308,1014890.175,TRUE,74875.28847
4,624105.0613,624572.8733,1014032.441,1014461.308,TRUE,19508.69354
5,624572.8733,625040.6854,1014032.441,1014461.308,TRUE,80444.82584
6,625040.6854,625508.4974,1014032.441,1014461.308,TRUE,15006.81695
7,625508.4974,625976.3094,1014032.441,1014461.308,TRUE,98608.30503
8,625976.3094,626444.1214,1014032.441,1014461.308,TRUE,88573.30999
9,626444.1214,626911.9335,1014032.441,1014461.308,TRUE,71138.26099
10,626911.9335,627379.7455,1014032.441,1014461.308,TRUE,95852.70221
11,627379.7455,627847.5575,1014032.441,1014461.308,TRUE,59605.95156
12,627847.5575,628315.3695,1014032.441,1014461.308,TRUE,76391.15938
13,624105.0613,624572.8733,1013603.575,1014032.441,TRUE,45821.95509
14,624572.8733,625040.6854,1013603.575,1014032.441,TRUE,114857.5741
15,625040.6854,625508.4974,1013603.575,1014032.441,TRUE,26545.01068
16,625508.4974,625976.3094,1013603.575,1014032.441,TRUE,47523.09425
17,625976.3094,626444.1214,1013603.575,1014032.441,TRUE,163491.1296
18,626444.1214,626911.9335,1013603.575,1014032.441,TRUE,159092.1802
19,626911.9335,627379.7455,1013603.575,1014032.441,TRUE,165397.1223
20,627379.7455,627847.5575,1013603.575,1014032.441,TRUE,185473.4123
21,627847.5575,628315.3695,1013603.575,1014032.441,TRUE,26553.21433
22,624105.0613,624572.8733,1013174.708,1013603.575,TRUE,1322.957008
23,624572.8733,625040.6854,1013174.708,1013603.575,TRUE,141302.7499
24,625040.6854,625508.4974,1013174.708,1013603.575,TRUE,107313.217
25,625508.4974,625976.3094,1013174.708,1013603.575,TRUE,177155.8361
26,625976.3094,626444.1214,1013174.708,1013603.575,TRUE,200629.011
27,626444.1214,626911.9335,1013174.708,1013603.575,TRUE,200629.011
28,626911.9335,627379.7455,1013174.708,1013603.575,TRUE,200629.011
29,627379.7455,627847.5575,1013174.708,1013603.575,TRUE,150304.7294
30,627847.5575,628315.3695,1013174.708,1013603.575,TRUE,1269.990244
31,628315.3695,628783.1816,1013174.708,1013603.575,TRUE,4231.287439
32,628783.1816,629250.9936,1013174.708,1013603.575,TRUE,28725.47697
33,624105.0613,624572.8733,1012745.841,1013174.708,TRUE,55997.51609
34,624572.8733,625040.6854,1012745.841,1013174.708,TRUE,184412.2089
35,625040.6854,625508.4974,1012745.841,1013174.708,TRUE,200629.011
36,625508.4974,625976.3094,1012745.841,1013174.708,TRUE,200629.011
37,625976.3094,626444.1214,1012745.841,1013174.708,TRUE,200629.011
38,626444.1214,626911.9335,1012745.841,1013174.708,TRUE,200629.0106
39,626911.9335,627379.7455,1012745.841,1013174.708,TRUE,200629.0113
40,627379.7455,627847.5575,1012745.841,1013174.708,TRUE,157465.388
41,627847.5575,628315.3695,1012745.841,1013174.708,TRUE,174522.2628
42,628315.3695,628783.1816,1012745.841,1013174.708,TRUE,137982.4622
43,628783.1816,629250.9936,1012745.841,1013174.708,TRUE,199233.4981
44,629250.9936,629718.8056,1012745.841,1013174.708,TRUE,134506.5095
45,624105.0613,624572.8733,1012316.974,1012745.841,TRUE,116649.6142
46,624572.8733,625040.6854,1012316.974,1012745.841,TRUE,200629.011
47,625040.6854,625508.4974,1012316.974,1012745.841,TRUE,200629.011
48,625508.4974,625976.3094,1012316.974,1012745.841,TRUE,200629.011
49,625976.3094,626444.1214,1012316.974,1012745.841,TRUE,200629.011
50,626444.1214,626911.9335,1012316.974,1012745.841,TRUE,200629.011
51,626911.9335,627379.7455,1012316.974,1012745.841,TRUE,200629.011
52,627379.7455,627847.5575,1012316.974,1012745.841,TRUE,200629.011
53,627847.5575,628315.3695,1012316.974,1012745.841,TRUE,200629.011
54,628315.3695,628783.1816,1012316.974,1012745.841,TRUE,200629.011
55,628783.1816,629250.9936,1012316.974,1012745.841,TRUE,200629.011
56,629250.9936,629718.8056,1012316.974,1012745.841,TRUE,167366.0296
57,624105.0613,624572.8733,1011888.108,1012316.974,TRUE,109061.6846
58,624572.8733,625040.6854,1011888.108,1012316.974,TRUE,200629.011
59,625040.6854,625508.4974,1011888.108,1012316.974,TRUE,200629.011
60,625508.4974,625976.3094,1011888.108,1012316.974,TRUE,200629.011
61,625976.3094,626444.1214,1011888.108,1012316.974,TRUE,200629.0126
62,626444.1214,626911.9335,1011888.108,1012316.974,TRUE,200629.011
63,626911.9335,627379.7455,1011888.108,1012316.974,TRUE,200629.011
64,627379.7455,627847.5575,1011888.108,1012316.974,TRUE,200629.011
65,627847.5575,628315.3695,1011888.108,1012316.974,TRUE,200629.011
66,628315.3695,628783.1816,1011888.108,1012316.974,TRUE,200629.011
67,628783.1816,629250.9936,1011888.108,1012316.974,TRUE,191707.8471
68,629250.9936,629718.8056,1011888.108,1012316.974,TRUE,63255.49539
69,624105.0613,624572.8733,1011459.241,1011888.108,TRUE,102745.6265
70,624572.8733,625040.6854,1011459.241,1011888.108,TRUE,200629.011
71,625040.6854,625508.4974,1011459.241,1011888.108,TRUE,200629.011
72,625508.4974,625976.3094,1011459.241,1011888.108,TRUE,200629.011
73,625976.3094,626444.1214,1011459.241,1011888.108,TRUE,200629.011
74,626444.1214,626911.9335,1011459.241,1011888.108,TRUE,200629.011
75,626911.9335,627379.7455,1011459.241,1011888.108,TRUE,200629.011
76,627379.7455,627847.5575,1011459.241,1011888.108,TRUE,192892.7472
77,627847.5575,628315.3695,1011459.241,1011888.108,TRUE,198827.6407
78,628315.3695,628783.1816,1011459.241,1011888.108,TRUE,189948.7429
79,628783.1816,629250.9936,1011459.241,1011888.108,TRUE,66664.2419
80,624105.0613,624572.8733,1011030.374,1011459.241,TRUE,26046.9221
81,624572.8733,625040.6854,1011030.374,1011459.241,TRUE,187117.2532
82,625040.6854,625508.4974,1011030.374,1011459.241,TRUE,200629.011
83,625508.4974,625976.3094,1011030.374,1011459.241,TRUE,200629.011
84,625976.3094,626444.1214,1011030.374,1011459.241,TRUE,200629.011
85,626444.1214,626911.9335,1011030.374,1011459.241,TRUE,200629.011
86,626911.9335,627379.7455,1011030.374,1011459.241,TRUE,162205.7152
87,627379.7455,627847.5575,1011030.374,1011459.241,TRUE,103951.8015
88,627847.5575,628315.3695,1011030.374,1011459.241,TRUE,58092.84262
89,628315.3695,628783.1816,1011030.374,1011459.241,TRUE,23114.82933
90,628783.1816,629250.9936,1011030.374,1011459.241,TRUE,53595.65773
91,624572.8733,625040.6854,1010601.508,1011030.374,TRUE,27418.21371
92,625040.6854,625508.4974,1010601.508,1011030.374,TRUE,165458.4786
93,625508.4974,625976.3094,1010601.508,1011030.374,TRUE,175986.2584
94,625976.3094,626444.1214,1010601.508,1011030.374,TRUE,100198.8185
95,626444.1214,626911.9335,1010601.508,1011030.374,TRUE,200629.011
96,626911.9335,627379.7455,1010601.508,1011030.374,TRUE,81125.14966
97,627379.7455,627847.5575,1010601.508,1011030.374,TRUE,12415.75326
98,627847.5575,628315.3695,1010601.508,1011030.374,TRUE,4474.06392
99,628315.3695,628783.1816,1010601.508,1011030.374,TRUE,28869.77096
100,628783.1816,629250.9936,1010601.508,1011030.374,TRUE,52576.65977
101,625040.6854,625508.4974,1010172.641,1010601.508,TRUE,8333.868595
102,625508.4974,625976.3094,1010172.641,1010601.508,TRUE,18394.23626
103,625976.3094,626444.1214,1010172.641,1010601.508,TRUE,74209.92662
104,626444.1214,626911.9335,1010172.641,1010601.508,TRUE,182734.3482
105,626911.9335,627379.7455,1010172.641,1010601.508,TRUE,54471.44089
106,628315.3695,628783.1816,1010172.641,1010601.508,TRUE,1542.707643
107,625976.3094,626444.1214,1009743.774,1010172.641,TRUE,30.20273289
108,626444.1214,626911.9335,1009743.774,1010172.641,TRUE,96500.92222
109,626911.9335,627379.7455,1009743.774,1010172.641,TRUE,11564.20793
